Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Login,100,2545,697,4716,941.25,0.00%,15.1,573.01,38972.6
Get All projects,100,2286,932,3514,553.02,0.00%,12.8,168.51,13469.3
HTTP Request Delete Projects,3132,437,228,9769,433.01,0.00%,114.1,81.41,730.5
Create Projects A,100,918,233,4733,1166.20,0.00%,4.7,3.19,700.7
Create Projects B,100,745,234,4914,1008.86,0.00%,4.7,3.24,711.7
Update Project B,100,602,237,6592,857.57,13.00%,4.7,4.56,1000.8
Create Item X,100,576,234,3733,649.46,8.00%,4.7,4.90,1078.5
Update Items with Priority equals 1,100,355,224,1579,256.29,8.00%,4.5,3.99,898.1
Create Item Y,100,354,229,887,197.20,5.00%,4.5,4.42,994.3
Update Items Y with due date,100,332,224,1598,216.50,5.00%,4.6,4.12,927.1
Create Item Z,100,390,231,1661,255.06,8.00%,4.6,4.90,1078.5
Update Items Z with other project,100,437,227,3763,428.80,13.00%,4.6,4.71,1038.4
Get All Items of a project,100,349,230,1753,226.96,5.00%,4.7,6.90,1515.1
Empty  Recycle Bin,100,850,246,7470,1314.04,0.00%,4.7,2.09,458.4
HTTP Request Delete,174,639,229,7136,1111.42,0.00%,7.9,6.56,846.4
Get All Recycle Bin,100,373,226,982,197.14,0.00%,4.7,11.93,2592.3
TOTAL,4706,550,224,9769,697.23,1.38%,137.3,255.78,1907.9
