Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Login,40,1989,1177,4275,605.47,0.00%,9.0,340.99,38977.0
Get All projects,40,773,697,998,85.40,0.00%,10.8,18.63,1768.5
HTTP Request Delete Projects,138,278,232,730,119.47,0.00%,24.7,17.60,729.6
Create Projects A,40,266,234,723,101.78,0.00%,8.0,5.69,729.2
Create Projects B,40,293,232,771,141.90,0.00%,7.3,5.23,729.2
Update Project B,40,328,231,827,188.54,0.00%,7.4,5.26,732.2
Create Item X,40,333,234,858,188.01,0.00%,7.3,6.06,854.0
Update Items with Priority equals 1,40,374,234,902,225.75,0.00%,7.2,6.04,853.8
Create Item Y,40,305,234,766,157.69,0.00%,7.3,6.06,854.0
Update Items Y with due date,40,381,231,1359,253.94,0.00%,7.3,6.31,886.7
Create Item Z,40,287,234,736,126.28,0.00%,8.0,6.69,854.0
Update Items Z with other project,40,308,237,738,141.49,0.00%,7.3,6.09,854.0
Get All Items of a project,40,333,232,815,183.63,0.00%,6.6,7.11,1102.4
Empty  Recycle Bin,40,265,238,652,62.92,0.00%,6.6,2.97,461.0
Get All Recycle Bin,40,333,232,948,193.60,0.00%,5.7,9.18,1652.0
HTTP Request Delete,48,432,228,869,230.67,0.00%,7.2,5.87,833.6
TOTAL,746,431,228,4275,441.51,0.00%,56.0,160.89,2939.7
