Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Login,70,2535,1193,5007,836.25,0.00%,10.7,405.74,38972.0
Get All projects,70,1798,970,3327,406.31,0.00%,8.9,25.05,2867.7
HTTP Request Delete Projects,422,654,229,5087,681.82,0.00%,24.0,17.10,730.3
Create Projects A,70,512,231,2083,541.75,0.00%,4.3,3.08,730.0
Create Projects B,70,642,230,2031,596.65,0.00%,4.3,3.08,730.0
Update Project B,70,584,231,2046,582.65,0.00%,4.3,3.09,733.0
Create Item X,70,541,233,1950,536.28,0.00%,4.6,3.85,854.0
Update Items with Priority equals 1,70,555,233,1928,579.04,0.00%,4.7,3.88,845.9
Create Item Y,70,560,233,2258,546.65,0.00%,4.6,3.80,854.0
Update Items Y with due date,70,672,232,2224,636.00,0.00%,4.8,4.12,884.6
Create Item Z,70,596,230,2179,589.40,0.00%,4.8,3.98,854.0
Update Items Z with other project,70,506,231,2135,523.47,0.00%,4.8,3.90,838.0
Get All Items of a project,70,630,230,2187,592.35,0.00%,4.9,6.23,1290.1
Empty  Recycle Bin,70,872,242,2059,534.16,0.00%,5.1,2.26,457.5
HTTP Request Delete,110,532,231,1475,401.31,0.00%,8.9,7.20,825.1
Get All Recycle Bin,70,552,234,3755,579.96,0.00%,5.2,14.61,2893.1
TOTAL,1512,756,229,5087,764.14,0.00%,62.5,168.16,2754.8
