Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Login,70,2420,410,4277,840.87,0.00%,12.5,475.93,38974.6
Get All projects,70,1361,811,3613,527.43,0.00%,11.9,55.63,4795.6
HTTP Request Delete Projects,747,415,231,3792,301.98,0.00%,47.9,34.19,730.5
Create Projects A,70,478,238,2490,526.45,0.00%,5.2,3.70,724.8
Create Projects B,70,422,232,2247,337.98,0.00%,5.2,3.74,730.0
Update Project B,70,460,234,2505,441.43,1.43%,5.1,3.84,774.8
Create Item X,70,366,234,1560,231.34,1.43%,5.1,4.45,894.1
Update Items with Priority equals 1,70,468,231,1594,289.33,1.43%,5.1,4.30,861.8
Create Item Y,70,349,237,1277,213.38,0.00%,5.3,4.46,854.0
Update Items Y with due date,70,379,231,1158,227.69,0.00%,5.4,4.67,893.3
Create Item Z,70,392,233,2168,296.44,1.43%,5.4,4.68,894.1
Update Items Z with other project,70,452,235,1704,368.09,1.43%,5.4,4.52,861.9
Get All Items of a project,70,447,234,3718,476.10,0.00%,4.7,6.04,1316.1
Empty  Recycle Bin,70,374,242,1666,273.36,0.00%,4.7,2.13,461.8
Get All Recycle Bin,70,428,229,1647,335.22,0.00%,4.5,7.27,1652.7
HTTP Request Delete,116,480,230,1842,371.17,0.00%,7.8,6.57,863.7
TOTAL,1843,532,229,4277,559.02,0.27%,75.4,178.80,2427.6
